date,raw_value,z_score,trembling,direction,source_note,obs_date,status
2022-01-26,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-01-26 [archive import: scored retroactively, not a live reading]",2022-01-26,scoring
2022-01-27,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-01-27 [archive import: scored retroactively, not a live reading]",2022-01-27,scoring
2022-01-28,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-01-28 [archive import: scored retroactively, not a live reading]",2022-01-28,scoring
2022-01-31,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-01-31 [archive import: scored retroactively, not a live reading]",2022-01-31,scoring
2022-02-01,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-02-01 [archive import: scored retroactively, not a live reading]",2022-02-01,scoring
2022-02-02,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-02-02 [archive import: scored retroactively, not a live reading]",2022-02-02,scoring
2022-02-03,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-02-03 [archive import: scored retroactively, not a live reading]",2022-02-03,scoring
2022-02-04,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-02-04 [archive import: scored retroactively, not a live reading]",2022-02-04,scoring
2022-02-07,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-02-07 [archive import: scored retroactively, not a live reading]",2022-02-07,scoring
2022-02-08,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-02-08 [archive import: scored retroactively, not a live reading]",2022-02-08,scoring
2022-02-09,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-02-09 [archive import: scored retroactively, not a live reading]",2022-02-09,scoring
2022-02-10,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-02-10 [archive import: scored retroactively, not a live reading]",2022-02-10,scoring
2022-02-11,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-02-11 [archive import: scored retroactively, not a live reading]",2022-02-11,scoring
2022-02-14,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-02-14 [archive import: scored retroactively, not a live reading]",2022-02-14,scoring
2022-02-15,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-02-15 [archive import: scored retroactively, not a live reading]",2022-02-15,scoring
2022-02-16,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-02-16 [archive import: scored retroactively, not a live reading]",2022-02-16,scoring
2022-02-17,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-02-17 [archive import: scored retroactively, not a live reading]",2022-02-17,scoring
2022-02-18,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-02-18 [archive import: scored retroactively, not a live reading]",2022-02-18,scoring
2022-02-22,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-02-22 [archive import: scored retroactively, not a live reading]",2022-02-22,scoring
2022-02-23,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-02-23 [archive import: scored retroactively, not a live reading]",2022-02-23,scoring
2022-02-24,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-02-24 [archive import: scored retroactively, not a live reading]",2022-02-24,scoring
2022-02-25,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-02-25 [archive import: scored retroactively, not a live reading]",2022-02-25,scoring
2022-02-28,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-02-28 [archive import: scored retroactively, not a live reading]",2022-02-28,scoring
2022-03-01,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-03-01 [archive import: scored retroactively, not a live reading]",2022-03-01,scoring
2022-03-02,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-03-02 [archive import: scored retroactively, not a live reading]",2022-03-02,scoring
2022-03-03,1,0.000,0,up,"NY Fed SRF total accepted 1.0$m on 2022-03-03 [archive import: scored retroactively, not a live reading]",2022-03-03,scoring
2022-03-04,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-03-04 [archive import: scored retroactively, not a live reading]",2022-03-04,scoring
2022-03-07,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-03-07 [archive import: scored retroactively, not a live reading]",2022-03-07,scoring
2022-03-08,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-03-08 [archive import: scored retroactively, not a live reading]",2022-03-08,scoring
2022-03-09,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-03-09 [archive import: scored retroactively, not a live reading]",2022-03-09,scoring
2022-03-10,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-03-10 [archive import: scored retroactively, not a live reading]",2022-03-10,scoring
2022-03-11,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-03-11 [archive import: scored retroactively, not a live reading]",2022-03-11,scoring
2022-03-14,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-03-14 [archive import: scored retroactively, not a live reading]",2022-03-14,scoring
2022-03-15,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-03-15 [archive import: scored retroactively, not a live reading]",2022-03-15,scoring
2022-03-16,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-03-16 [archive import: scored retroactively, not a live reading]",2022-03-16,scoring
2022-03-17,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-03-17 [archive import: scored retroactively, not a live reading]",2022-03-17,scoring
2022-03-18,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-03-18 [archive import: scored retroactively, not a live reading]",2022-03-18,scoring
2022-03-21,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-03-21 [archive import: scored retroactively, not a live reading]",2022-03-21,scoring
2022-03-22,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-03-22 [archive import: scored retroactively, not a live reading]",2022-03-22,scoring
