date,raw_value,z_score,trembling,direction,source_note,obs_date,status
2021-04-11,5,0.200,0,up,"Bitstamp settled daily close, worst 5.0bp from $1 [archive import: scored retroactively, not a live reading]",2021-04-11,scoring
2021-04-12,0.6,0.024,0,up,"Bitstamp settled daily close, worst 0.6bp from $1 [archive import: scored retroactively, not a live reading]",2021-04-12,scoring
2021-04-13,10,0.400,0,up,"Bitstamp settled daily close, worst 10.0bp from $1 [archive import: scored retroactively, not a live reading]",2021-04-13,scoring
2021-04-14,9,0.360,0,up,"Bitstamp settled daily close, worst 9.0bp from $1 [archive import: scored retroactively, not a live reading]",2021-04-14,scoring
2021-04-15,9.3,0.372,0,up,"Bitstamp settled daily close, worst 9.3bp from $1 [archive import: scored retroactively, not a live reading]",2021-04-15,scoring
2021-04-16,10.9,0.436,0,up,"Bitstamp settled daily close, worst 10.9bp from $1 [archive import: scored retroactively, not a live reading]",2021-04-16,scoring
2021-04-17,4.5,0.180,0,up,"Bitstamp settled daily close, worst 4.5bp from $1 [archive import: scored retroactively, not a live reading]",2021-04-17,scoring
2021-04-18,6,0.240,0,up,"Bitstamp settled daily close, worst 6.0bp from $1 [archive import: scored retroactively, not a live reading]",2021-04-18,scoring
2021-04-19,4.4,0.176,0,up,"Bitstamp settled daily close, worst 4.4bp from $1 [archive import: scored retroactively, not a live reading]",2021-04-19,scoring
2021-04-20,7.4,0.296,0,up,"Bitstamp settled daily close, worst 7.4bp from $1 [archive import: scored retroactively, not a live reading]",2021-04-20,scoring
2021-04-21,5.3,0.212,0,up,"Bitstamp settled daily close, worst 5.3bp from $1 [archive import: scored retroactively, not a live reading]",2021-04-21,scoring
2021-04-22,8.7,0.348,0,up,"Bitstamp settled daily close, worst 8.7bp from $1 [archive import: scored retroactively, not a live reading]",2021-04-22,scoring
2021-04-23,2,0.080,0,up,"Bitstamp settled daily close, worst 2.0bp from $1 [archive import: scored retroactively, not a live reading]",2021-04-23,scoring
