date,component,value
2026-01-17,Suez Canal,49
2026-01-17,Sunda Strait,40
2026-01-17,Taiwan Strait,250
2026-01-17,Torres Strait,3
2026-01-17,Tsugaru Strait,45
2026-01-17,Windward Passage,15
2026-01-17,Yucatan Channel,61
2026-01-18,Bab el-Mandeb Strait,34
2026-01-18,Balabac Strait,12
2026-01-18,Bering Strait,0
2026-01-18,Bohai Strait,123
2026-01-18,Bosporus Strait,60
2026-01-18,Cape of Good Hope,85
2026-01-18,Dover Strait,148
2026-01-18,Gibraltar Strait,141
2026-01-18,Kerch Strait,8
2026-01-18,Korea Strait,184
2026-01-18,Lombok Strait,43
2026-01-18,Luzon Strait,68
2026-01-18,Magellan Strait,1
2026-01-18,Makassar Strait,60
2026-01-18,Malacca Strait,222
2026-01-18,Mindoro Strait,46
2026-01-18,Mona Passage,10
2026-01-18,Ombai Strait,10
2026-01-18,Oresund Strait,47
2026-01-18,Panama Canal,34
2026-01-18,Strait of Hormuz,62
2026-01-18,Suez Canal,45
2026-01-18,Sunda Strait,44
2026-01-18,Taiwan Strait,250
2026-01-18,Torres Strait,11
2026-01-18,Tsugaru Strait,69
2026-01-18,Windward Passage,13
2026-01-18,Yucatan Channel,55
2026-01-19,Bab el-Mandeb Strait,33
2026-01-19,Balabac Strait,9
2026-01-19,Bering Strait,0
2026-01-19,Bohai Strait,162
2026-01-19,Bosporus Strait,29
2026-01-19,Cape of Good Hope,76
2026-01-19,Dover Strait,153
2026-01-19,Gibraltar Strait,127
2026-01-19,Kerch Strait,6
2026-01-19,Korea Strait,183
2026-01-19,Lombok Strait,38
2026-01-19,Luzon Strait,71
2026-01-19,Magellan Strait,2
2026-01-19,Makassar Strait,65
2026-01-19,Malacca Strait,242
2026-01-19,Mindoro Strait,35
2026-01-19,Mona Passage,10
2026-01-19,Ombai Strait,9
2026-01-19,Oresund Strait,45
2026-01-19,Panama Canal,32
2026-01-19,Strait of Hormuz,68
2026-01-19,Suez Canal,40
2026-01-19,Sunda Strait,25
2026-01-19,Taiwan Strait,232
2026-01-19,Torres Strait,6
2026-01-19,Tsugaru Strait,39
2026-01-19,Windward Passage,16
2026-01-19,Yucatan Channel,41
2026-01-20,Bab el-Mandeb Strait,36
2026-01-20,Balabac Strait,7
2026-01-20,Bering Strait,0
2026-01-20,Bohai Strait,152
2026-01-20,Bosporus Strait,114
2026-01-20,Cape of Good Hope,94
2026-01-20,Dover Strait,146
2026-01-20,Gibraltar Strait,131
2026-01-20,Kerch Strait,13
2026-01-20,Korea Strait,149
2026-01-20,Lombok Strait,40
2026-01-20,Luzon Strait,63
2026-01-20,Magellan Strait,4
2026-01-20,Makassar Strait,53
2026-01-20,Malacca Strait,243
2026-01-20,Mindoro Strait,31
2026-01-20,Mona Passage,14
2026-01-20,Ombai Strait,9
2026-01-20,Oresund Strait,52
2026-01-20,Panama Canal,31
2026-01-20,Strait of Hormuz,71
2026-01-20,Suez Canal,40
2026-01-20,Sunda Strait,30
2026-01-20,Taiwan Strait,194
2026-01-20,Torres Strait,9
2026-01-20,Tsugaru Strait,14
2026-01-20,Windward Passage,17
2026-01-20,Yucatan Channel,50
2026-01-21,Bab el-Mandeb Strait,30
2026-01-21,Balabac Strait,6
2026-01-21,Bering Strait,0
2026-01-21,Bohai Strait,175
2026-01-21,Bosporus Strait,88
2026-01-21,Cape of Good Hope,92
2026-01-21,Dover Strait,177
2026-01-21,Gibraltar Strait,139
2026-01-21,Kerch Strait,14
2026-01-21,Korea Strait,144
2026-01-21,Lombok Strait,37
2026-01-21,Luzon Strait,51
2026-01-21,Magellan Strait,2
2026-01-21,Makassar Strait,50
2026-01-21,Malacca Strait,247
2026-01-21,Mindoro Strait,41
2026-01-21,Mona Passage,5
2026-01-21,Ombai Strait,10
2026-01-21,Oresund Strait,37
2026-01-21,Panama Canal,32
2026-01-21,Strait of Hormuz,69
2026-01-21,Suez Canal,26
2026-01-21,Sunda Strait,42
2026-01-21,Taiwan Strait,223
2026-01-21,Torres Strait,18
2026-01-21,Tsugaru Strait,25
2026-01-21,Windward Passage,19
2026-01-21,Yucatan Channel,56
2026-01-22,Bab el-Mandeb Strait,30
2026-01-22,Balabac Strait,9
2026-01-22,Bering Strait,0
2026-01-22,Bohai Strait,180
2026-01-22,Bosporus Strait,102
2026-01-22,Cape of Good Hope,93
2026-01-22,Dover Strait,183
2026-01-22,Gibraltar Strait,140
2026-01-22,Kerch Strait,25
2026-01-22,Korea Strait,166
2026-01-22,Lombok Strait,37
2026-01-22,Luzon Strait,67
2026-01-22,Magellan Strait,3
2026-01-22,Makassar Strait,40
2026-01-22,Malacca Strait,273
2026-01-22,Mindoro Strait,53
2026-01-22,Mona Passage,16
2026-01-22,Ombai Strait,8
2026-01-22,Oresund Strait,39
2026-01-22,Panama Canal,27
